selected_clients
"[87, 46, 82, 83, 51, 76, 71, 93, 7, 44]"
"[0, 1, 2, 3, 4, 5, 6, 8, 9, 10]"
"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20]"
"[21, 22, 23, 24, 25, 26, 27, 28, 29, 30]"
"[31, 32, 33, 34, 35, 36, 37, 38, 39, 40]"
"[41, 42, 43, 45, 47, 48, 49, 50, 52, 53]"
"[54, 55, 56, 57, 58, 59, 60, 61, 62, 63]"
"[54, 60, 64, 65, 66, 67, 68, 69, 70, 72]"
"[68, 64, 73, 74, 75, 77, 78, 79, 80, 81]"
"[81, 84, 85, 86, 88, 89, 90, 91, 92, 94]"
"[89, 90, 85, 88, 91, 95, 96, 97, 98, 99]"
"[98, 96, 99, 95, 66, 94, 79, 73, 52, 70]"
"[52, 41, 75, 77, 59, 92, 84, 78, 39, 85]"
"[41, 52, 39, 85, 72, 56, 65, 43, 62, 75]"
"[62, 41, 43, 65, 85, 39, 52, 72, 75, 49]"
"[85, 52, 65, 43, 62, 41, 75, 39, 72, 49]"
"[85, 39, 75, 41, 52, 62, 43, 65, 49, 72]"
"[62, 65, 85, 43, 41, 75, 39, 52, 72, 89]"
"[62, 65, 85, 43, 41, 75, 49, 52, 39, 72]"
"[62, 65, 85, 43, 49, 41, 75, 52, 39, 72]"
"[62, 65, 43, 85, 49, 41, 75, 52, 39, 72]"
"[62, 65, 43, 85, 41, 49, 75, 52, 39, 72]"
"[62, 65, 43, 85, 49, 41, 89, 75, 98, 56]"
"[62, 65, 43, 89, 98, 55, 69, 56, 86, 80]"
"[89, 69, 62, 55, 56, 80, 98, 65, 85, 49]"
"[89, 56, 98, 69, 55, 80, 63, 96, 52, 94]"
"[56, 89, 98, 69, 94, 55, 63, 96, 80, 42]"
"[80, 69, 56, 89, 55, 98, 42, 96, 63, 94]"
"[96, 80, 69, 89, 94, 56, 55, 98, 42, 63]"
"[63, 96, 80, 69, 94, 89, 56, 55, 98, 42]"
"[63, 42, 96, 80, 69, 94, 89, 56, 55, 98]"
"[63, 42, 96, 80, 69, 94, 89, 56, 55, 98]"
"[63, 42, 96, 80, 69, 94, 89, 56, 90, 66]"
"[63, 42, 96, 90, 80, 66, 69, 94, 41, 74]"
"[63, 42, 96, 90, 66, 74, 99, 55, 67, 88]"
"[66, 90, 63, 42, 67, 88, 99, 43, 91, 95]"
"[66, 90, 91, 63, 67, 95, 99, 88, 42, 60]"
"[88, 66, 99, 90, 91, 60, 67, 95, 45, 38]"
"[91, 67, 88, 95, 99, 66, 90, 45, 38, 60]"
"[91, 60, 67, 88, 95, 99, 66, 90, 45, 38]"
"[91, 60, 67, 88, 95, 99, 66, 90, 45, 38]"
"[45, 91, 60, 38, 67, 88, 95, 99, 66, 90]"
"[45, 38, 60, 91, 67, 88, 95, 99, 66, 90]"
"[45, 38, 60, 91, 67, 88, 95, 99, 54, 79]"
"[45, 38, 60, 91, 67, 54, 99, 95, 88, 79]"
"[45, 38, 60, 91, 54, 79, 67, 68, 64, 77]"
"[54, 79, 45, 38, 60, 68, 64, 91, 77, 73]"
"[54, 79, 73, 38, 45, 64, 68, 60, 77, 39]"
"[54, 68, 64, 77, 79, 73, 62, 38, 96, 81]"
"[54, 68, 64, 73, 77, 79, 81, 74, 72, 75]"
